Norm I/I0,time Corrected (ps)
2.53162E-12,-2701.075
1.10743E-12,-2696.075
2.02178E-12,-2691.075
5.70082E-14,-2686.075
1.23467E-12,-2681.075
1.22046E-14,-2676.075
4.43553E-14,-2671.075
3.03509E-14,-2666.075
1.42696E-12,-2661.075
3.69349E-14,-2656.075
3.05114E-15,-2651.075
7.38698E-15,-2646.075
1.72017E-12,-2641.075
4.67307E-14,-2636.075
1.92704E-15,-2631.075
1.18834E-14,-2626.075
3.01903E-14,-2621.075
2.00364E-14,-2616.075
9.17781E-14,-2611.075
3.01903E-14,-2606.075
5.29936E-15,-2601.075
1.64562E-12,-2596.075
4.99424E-14,-2591.075
1.81319E-12,-2586.075
5.52418E-14,-2581.075
2.20586E-12,-2576.075
1.40312E-12,-2571.075
4.49642E-15,-2566.075
1.18834E-14,-2561.075
2.55751E-12,-2556.075
3.21859E-14,-2551.075
1.97521E-14,-2546.075
2.02579E-12,-2541.075
3.79142E-14,-2536.075
3.11538E-14,-2531.075
4.99424E-14,-2526.075
8.65568E-13,-2521.075
1.97521E-14,-2516.075
2.56938E-15,-2511.075
1.25609E-12,-2506.075
2.10368E-14,-2501.075
3.32414E-14,-2496.075
2.89056E-14,-2491.075
6.73463E-13,-2486.075
9.31402E-15,-2481.075
2.35949E-12,-2476.075
1.73433E-14,-2471.075
2.62504E-13,-2466.075
1.98072E-12,-2461.075
8.99507E-13,-2456.075
6.16652E-14,-2451.075
5.78112E-14,-2446.075
3.46867E-14,-2441.075
8.62731E-13,-2436.075
1.9635E-12,-2431.075
3.51685E-14,-2426.075
9.63519E-15,-2421.075
1.13607E-12,-2416.075
1.71742E-12,-2411.075
3.95043E-14,-2406.075
1.24884E-12,-2401.075
2.3285E-14,-2396.075
5.6687E-14,-2391.075
1.83069E-14,-2386.075
7.86874E-15,-2381.075
1.53966E-12,-2376.075
2.50515E-14,-2371.075
9.63519E-15,-2366.075
8.51109E-15,-2361.075
2.34456E-14,-2356.075
1.30075E-14,-2351.075
2.05551E-14,-2346.075
2.56938E-15,-2341.075
1.57375E-14,-2336.075
7.06522E-15,-2331.075
2.64968E-14,-2326.075
1.35029E-12,-2321.075
5.41177E-14,-2316.075
1.73433E-14,-2311.075
2.08763E-14,-2306.075
2.98691E-14,-2301.075
1.63798E-14,-2296.075
8.08407E-14,-2291.075
5.44388E-14,-2286.075
1.25534E-13,-2281.075
3.74167E-14,-2276.075
1.79857E-14,-2271.075
1.78251E-14,-2266.075
4.33584E-15,-2261.075
2.06423E-13,-2256.075
1.89492E-14,-2251.075
1.09199E-14,-2246.075
3.38838E-14,-2241.075
9.98903E-13,-2236.075
8.1321E-13,-2231.075
2.23194E-12,-2226.075
2.83002E-14,-2221.075
2.24821E-14,-2216.075
6.26288E-15,-2211.075
2.85844E-14,-2206.075
2.72997E-15,-2201.075
3.37232E-14,-2196.075
3.13985E-13,-2191.075
3.85408E-15,-2186.075
2.89056E-14,-2181.075
1.72966E-12,-2176.075
2.85528E-13,-2171.075
5.02636E-14,-2166.075
2.74603E-14,-2161.075
2.81026E-14,-2156.075
4.11102E-14,-2151.075
1.14531E-12,-2146.075
9.44247E-13,-2141.075
8.37413E-13,-2136.075
7.21034E-14,-2131.075
6.03805E-14,-2126.075
9.51115E-13,-2121.075
2.21609E-14,-2116.075
6.05411E-14,-2111.075
4.33584E-14,-2106.075
3.16355E-14,-2101.075
2.77815E-14,-2096.075
1.46494E-12,-2091.075
4.97818E-15,-2086.075
5.10665E-14,-2081.075
2.97085E-14,-2076.075
2.6818E-14,-2071.075
2.84238E-14,-2066.075
1.30075E-14,-2061.075
4.4521E-13,-2056.075
2.1358E-14,-2051.075
3.16355E-14,-2046.075
4.33584E-15,-2041.075
4.51248E-14,-2036.075
1.15622E-14,-2031.075
1.92704E-14,-2026.075
2.37977E-12,-2021.075
9.04436E-14,-2016.075
6.26632E-13,-2011.075
7.86874E-15,-2006.075
1.33287E-14,-2001.075
5.78112E-15,-1996.075
8.83226E-15,-1991.075
3.82196E-14,-1986.075
3.27597E-14,-1981.075
2.03945E-14,-1976.075
1.05987E-14,-1971.075
1.41652E-13,-1966.075
1.0117E-14,-1961.075
7.90687E-13,-1956.075
2.89056E-15,-1951.075
3.17961E-14,-1946.075
9.95637E-15,-1941.075
2.56938E-15,-1936.075
3.08326E-14,-1931.075
5.0103E-14,-1926.075
1.54945E-12,-1921.075
2.34694E-12,-1916.075
7.54757E-15,-1911.075
6.19864E-14,-1906.075
8.01339E-14,-1901.075
3.85789E-12,-1896.075
2.5804E-12,-1891.075
4.25135E-13,-1886.075
1.83069E-14,-1881.075
1.57375E-14,-1876.075
7.50279E-13,-1871.075
4.33584E-15,-1866.075
2.58544E-14,-1861.075
6.50522E-13,-1856.075
7.06581E-14,-1851.075
2.50515E-14,-1846.075
2.00733E-14,-1841.075
3.21541E-13,-1836.075
4.2716E-14,-1831.075
1.55769E-14,-1826.075
1.95626E-12,-1821.075
3.91831E-14,-1816.075
4.98907E-13,-1811.075
1.85754E-12,-1806.075
1.23046E-12,-1801.075
2.97252E-13,-1796.075
2.09845E-12,-1791.075
4.11102E-14,-1786.075
4.33584E-15,-1781.075
4.5446E-14,-1776.075
6.05511E-14,-1771.075
8.42053E-13,-1766.075
1.60587E-14,-1761.075
4.72124E-14,-1756.075
5.37965E-14,-1751.075
3.85408E-15,-1746.075
6.98551E-14,-1741.075
4.3519E-14,-1736.075
1.04381E-14,-1731.075
1.76645E-14,-1726.075
3.27597E-14,-1721.075
1.95544E-12,-1716.075
1.41316E-14,-1711.075
2.89062E-14,-1706.075
7.70815E-15,-1701.075
6.26288E-15,-1696.075
7.87784E-13,-1691.075
1.12411E-15,-1686.075
2.23215E-14,-1681.075
4.14313E-14,-1676.075
3.59714E-14,-1671.075
5.2833E-14,-1666.075
3.69349E-15,-1661.075
6.8183E-13,-1656.075
7.03574E-13,-1651.075
4.78548E-14,-1646.075
1.62192E-14,-1641.075
4.8176E-16,-1636.075
1.17187E-12,-1631.075
4.14313E-14,-1626.075
1.9933E-12,-1621.075
4.89789E-14,-1616.075
1.15625E-12,-1611.075
1.38104E-14,-1606.075
2.24821E-14,-1601.075
2.23432E-12,-1596.075
1.81463E-14,-1591.075
4.71598E-13,-1586.075
1.55769E-14,-1581.075
4.17525E-15,-1576.075
1.50951E-14,-1571.075
2.17172E-12,-1566.075
2.08763E-15,-1561.075
1.0117E-14,-1556.075
1.18834E-14,-1551.075
1.91098E-14,-1546.075
2.24821E-15,-1541.075
6.44428E-13,-1536.075
4.86577E-14,-1531.075
1.34224E-12,-1526.075
2.12786E-12,-1521.075
1.70179E-12,-1516.075
3.27597E-14,-1511.075
1.29888E-12,-1506.075
1.31681E-14,-1501.075
2.42486E-14,-1496.075
1.96247E-13,-1491.075
3.03509E-14,-1486.075
1.28469E-15,-1481.075
8.88313E-14,-1476.075
1.28469E-14,-1471.075
1.31681E-14,-1466.075
1.91098E-14,-1461.075
1.49424E-12,-1456.075
1.75747E-12,-1451.075
1.07146E-12,-1446.075
1.53015E-12,-1441.075
2.1358E-14,-1436.075
6.35923E-14,-1431.075
